BTC,ADA
0.833805019850781,0.9651375584022575
0.8455941099106408,0.9880486233936184
0.9048529935961257,1.0
1.0,0.9851144530890577
0.8574992010521528,0.9994274789649638
0.9526500485514461,0.8841565027143632
0.9166382425605664,0.9129359083148457
0.8294407672357633,0.9250917567194544
0.8134426048158118,0.8393362845429545
0.831071696350652,0.8567368345720917
0.9197671988888478,0.8284481612873544
0.8606435217621102,0.848629527772382
0.8436996816500117,0.7954464130534796
0.8617589758717751,0.7822886528375574
0.8793496564524257,0.7907537852841647
0.9437056737588652,0.8171919887949455
0.965769694064432,0.8225082555488534
0.9325956893690769,0.7975626961651314
0.8722589943090329,0.7354237166838764
0.9075071905306241,0.6663838140124524
